source;target;weight
adirtu_2 [?];adru_2 [?];0.014
adirtu_2 [?];Urim_P [?];0.012
adirtu_2 [?];antalû [eclipse, ];0.01
adirtu_2 [?];šaplu [low, low(er), lower one, underside, ];0.009
adirtu_2 [?];zakû [be(come) clear, clear, pure, ];0.009
adirtu_2 [?];lapātu [touch, ];0.008
adirtu_2 [?];ištānu [North, north, north wind, ];0.008
adirtu_2 [?];tebû [arise, arisen, get up, rising, ];0.007
adirtu_2 [?];amurru [Amurru, west, west wind, ];0.006
adirtu_2 [?];Simanu [1, Sivan, ];0.005
adru_1 [?];gubbu [cistern, ];0.029
adru_1 [?];arqu [green, yellow, ];0.015
adru_1 [?];eršu [bed, demanded, tilled, wise, wise one, ];0.012
adru_1 [?];pūtu&&upnu [opening&&(cupped) hand, ];0.009
adru_1 [?];ruqqu [cauldron, kettle, thinness, ];0.008
adru_1 [?];kirû [(fruit) plantation, garden, ];0.008
adru_1 [?];tillatu [auxiliaries, help, vine, ];0.007
adru_1 [?];ikkaru [farmer, ];0.006
adru_1 [?];būrtu [cistern, cow, ];0.006
adru_1 [?];gimru [totality, ];0.005
adru_10 [?];šutadduru_10 [?];0.08
adru_10 [?];palhu_10 [?];0.075
adru_10 [?];ittāti [sign, ];0.019
adru_10 [?];lumnu [evil, ];0.013
adru_10 [?];ṭehû [approach, approaching, be(come) near, be(come) near to, coming near, near, ];0.006
adru_10 [?];šuttu [dream, ];0.005
adru_10 [?];ittu [peculiarity, sign, ];0.005
adru_10 [?];lemnu [bad, bad one, evil, evil one, ];0.003
adru_10 [?];mūšu [night, ];0.003
adru_10 [?];nāru [canal, musician, river, ];0.003
adru_2 [?];adru_2 [?];0.024
adru_2 [?];innamir [appear, ];0.015
adru_2 [?];adirtu_2 [?];0.015
adru_2 [?];qablīti [middle watch, ];0.013
adru_2 [?];Šinunutu ['Swallo star' (part of Pisces), 'Swallow star' (part of Pisces), Swallow, ];0.012
adru_2 [?];barārīti [evening watch, ];0.011
adru_2 [?];barbaru [wolf, ];0.009
adru_2 [?];abiktu [defeat, ];0.009
adru_2 [?];zakru [named, ];0.009
adru_2 [?];Nimru ['Panther', Cygnus, Leopard, Panther (Cygnus), ];0.008
adru_4 [?];tabriu [fodder crop, ];0.031
adru_4 [?];būrtu [cistern, cow, ];0.016
adru_4 [?];kirû [(fruit) plantation, garden, ];0.014
adru_4 [?];šīqu [(an illness), irrigation, levelling off (of grain in measuring vessel), watering, ];0.013
adru_4 [?];eqlu [area, field, ];0.012
adru_4 [?];mazrūtu [(area or state of) cultivation, ];0.012
adru_4 [?];imēru [donkey, unit, ];0.008
adru_4 [?];zarpu [purchased, ];0.008
adru_4 [?];tadānu [give, ];0.007
adru_4 [?];gammuru [finished, ];0.007
adru_5 [?];tēlītu [produce, revenue, ];0.035
adru_5 [?];adru_5 [?];0.027
adru_5 [?];Nimru ['Panther', Cygnus, Leopard, Panther (Cygnus), ];0.011
adru_5 [?];hibiltu [wrongdoing, ];0.009
adru_5 [?];ziqpu [shoot, ];0.006
adru_5 [?];zēru [hated, hated one, seed, seed(s), seed-measure, ];0.004
adru_5 [?];zakû [be(come) clear, clear, pure, ];0.004
adru_5 [?];Zuqaqipu [Scorpion, Scorpius, ];0.004
adru_5 [?];karāru [put (down), ];0.004
adru_5 [?];mâtu [die, ];0.003
adru_9 [?];adru_9 [?];0.029
adru_9 [?];mašādu [beat, ];0.021
adru_9 [?];adāru_9 [?];0.017
adru_9 [?];iltānu [north, north wind, ];0.017
adru_9 [?];šadî [east, ];0.017
adru_9 [?];iltāni [north, ];0.016
adru_9 [?];šūti [south, ];0.015
adru_9 [?];Dapinu [Jupiter, ];0.013
adru_9 [?];antallû [eclipse, ];0.013
adru_9 [?];amurri [west, ];0.012
adāru_10 [?];maḫru [front, received, ];0.007
adāru_10 [?];awīlu [man, ];0.004
adāru_10 [?];lemnu [bad, bad one, evil, evil one, ];0.003
adāru_10 [?];dīnu [legal decision, ];0.002
adāru_10 [?];libbu [(a kind of bread), inner body, interior, ];0.001
adāru_11 [?];huliam [helmet, ];0.016
adāru_11 [?];šalgu [snow, ];0.016
adāru_11 [?];šuttinnu [bat, ];0.015
adāru_11 [?];šuribatu [terror?, ];0.014
